               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.031878,            0.011973,                   0,             0.61401,             0.59375,             0.54341,              0.3372,            0.039174,            0.013878,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.033673,            0.011797,                   0,             0.60401,             0.59375,             0.51989,             0.32087,            0.042365,            0.015249,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.033717,            0.011557,                   0,             0.56753,               0.625,             0.55827,             0.30698,            0.043866,             0.01499,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.033252,            0.010783,                   0,             0.56314,               0.625,             0.52909,              0.3032,             0.04041,            0.014701,                   0,            0.007162,            0.007162,            0.007162
                  88,             0.03166,            0.011444,                   0,             0.65177,             0.65625,             0.54152,             0.30215,            0.040849,            0.014024,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.032187,            0.010638,                   0,             0.63495,             0.65235,             0.54311,              0.3442,            0.041033,            0.012862,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.031189,            0.011318,                   0,             0.65526,             0.65347,             0.56579,             0.37141,            0.041742,            0.012829,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.030129,            0.011796,                   0,              0.6292,             0.65625,             0.53178,               0.329,            0.042217,            0.012945,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.030909,             0.01285,                   0,             0.67536,             0.65025,             0.55033,             0.35884,            0.042361,            0.012707,                   0,            0.006997,            0.006997,            0.006997
                  93,             0.03069,            0.012068,                   0,              0.7557,             0.59375,             0.61937,             0.39203,            0.043291,            0.012619,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.032658,            0.011498,                   0,             0.62684,             0.65625,             0.62036,             0.38015,            0.043654,            0.014248,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.032169,            0.011096,                   0,             0.58776,              0.6875,             0.59721,             0.37278,            0.041956,            0.014664,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.031738,            0.010932,                   0,             0.67831,             0.46151,             0.49579,             0.34083,            0.038606,            0.015042,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.031545,            0.010416,                   0,             0.67955,             0.53019,             0.55387,             0.37038,            0.038703,            0.014739,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.030008,            0.010285,                   0,             0.69026,             0.65625,             0.59852,             0.40009,            0.036111,            0.013914,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.030076,            0.010355,                   0,             0.66305,               0.625,             0.57794,             0.38662,             0.03807,            0.013445,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.028939,            0.011009,                   0,              0.5642,             0.59375,             0.52696,             0.31749,            0.042308,            0.016374,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.030989,            0.011619,                   0,             0.65104,              0.5625,             0.54221,             0.34506,            0.040372,            0.014674,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.030532,            0.011221,                   0,             0.56148,             0.53125,             0.49386,             0.33129,            0.041393,            0.014976,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.029661,            0.009955,                   0,              0.5737,             0.58891,             0.48411,             0.28886,            0.041874,            0.015193,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.029087,            0.010961,                   0,             0.60648,             0.62614,             0.57943,             0.38587,            0.038764,            0.014465,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.030456,            0.011327,                   0,             0.77596,             0.64959,             0.62934,              0.3935,            0.041056,            0.012952,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.026937,            0.010821,                   0,             0.66523,             0.65625,             0.59967,             0.39985,            0.041816,            0.012378,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.029182,            0.010248,                   0,             0.70189,             0.58878,             0.55687,             0.37287,            0.041647,            0.013114,                   0,            0.006502,            0.006502,            0.006502
                 108,             0.02967,            0.010751,                   0,             0.54385,             0.59375,             0.48116,             0.28641,            0.042605,            0.015199,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.030741,            0.010511,                   0,             0.48344,                 0.5,             0.43127,             0.26886,            0.044665,             0.01562,                   0,            0.006436,            0.006436,            0.006436
